,SecurityID,Sector,Industry,Sub_Industry,Seniority,Issuedby,Country,Rating
0,55086,Financials,Banks,Commer Banks Non-US,Sr Unsecured,AZURE NOVA INTERNATIONAL FINANCE LTD,CN,Not Founded
1,55087,Financials,Banks,Commer Banks Non-US,Sr Unsecured,AZURE NOVA INTERNATIONAL FINANCE LTD,CN,Not Founded
2,55088,Financials,Banks,Commer Banks Non-US,Sr Unsecured,AZURE NOVA INTERNATIONAL FINANCE LTD,CN,Not Founded
3,55089,Energy,Power Generation,Electric-Integrated,Subordinated Unsecured,SSE PLC,GB,BBB-
4,55092,Financials,Financial Services,Invest Mgmnt/Advis Serv,Sr Unsecured,CHINA CINDA FINANCE 2017 I LTD,CN,A-
5,55093,Financials,Financial Services,Invest Mgmnt/Advis Serv,Sr Unsecured,CHINA CINDA FINANCE 2017 I LTD,CN,A-
6,55094,Financials,Financial Services,Invest Mgmnt/Advis Serv,Sr Unsecured,CHINA CINDA FINANCE 2017 I LTD,CN,A-
7,55095,Financials,Financial Services,Invest Mgmnt/Advis Serv,Sr Unsecured,CHINA CINDA FINANCE 2017 I LTD,CN,A-
8,55110,Real Estate,Real Estate,Real Estate Oper/Develop,1st Lien Secured,CHINA SOUTH CITY HOLDINGS LTD,CN,CCC+
9,55133,Energy,Exploration & Production,Oil Comp-Explor&Prodtn,Sr Unsecured,PETROAMAZONAS EP,EC,Not Founded
10,55186,Financials,Banks,Commer Banks Non-US,Subordinated Unsecured,ODEA BANK AS,TR,Not Founded
11,55187,Financials,Banks,Commer Banks Non-US,Sr Unsecured,AXIS BANK LTD/DUBAI,IN,BBB-
12,55204,Energy,Refining & Marketing,Oil Refining&Marketing,Sr Unsecured,SIBUR SECURITIES DAC,RU,Not Founded
13,55205,Energy,Refining & Marketing,Oil Refining&Marketing,Sr Unsecured,PUMA INTERNATIONAL FINANCING SA,SG,Not Founded
14,55215,Basic Materials,Metals & Mining,Gold Mining,Sr Unsecured,PETROPAVLOVSK 2016 LTD,RU,B-
15,55224,Basic Materials,Metals & Mining,Gold Mining,Sr Unsecured,POLYUS FINANCE PLC,RU,BB
16,55248,Basic Materials,Chemicals,Chemicals-Diversified,Sr Unsecured,PETKIM PETROKIMYA HOLDING AS,TR,Not Founded
17,55267,Energy,Oil & Gas Services & Equipment,Seismic Data Collection,2nd Lien Secured,CGG SA,FR,CCC+
18,55283,Communications,Wireless Telecommunications Services,Cellular Telecom,Secured,OZTEL HOLDINGS SPC LTD,OM,Not Founded
19,55284,Communications,Wireless Telecommunications Services,Cellular Telecom,Secured,OZTEL HOLDINGS SPC LTD,OM,Not Founded
20,55299,Financials,Life Insurance,Life/Health Insurance,Subordinated Unsecured,KDB LIFE INSURANCE CO LTD,KR,Not Founded
21,55321,Financials,Consumer Finance,Finance-Consumer Loans,Sr Unsecured,FEDERAL INTERNATIONAL FINANCE PT,ID,Not Founded
22,55322,Financials,Financial Services,Finance-Other Services,Sr Unsecured,GUANG YING INVESTMENT LTD,CN,BBB+
23,55330,Financials,Financial Services,Invest Mgmnt/Advis Serv,Sr Unsecured,CHINA GREAT WALL INTERNATIONAL HOLDINGS III LTD,CN,BBB+
24,55336,Financials,Financial Services,Invest Mgmnt/Advis Serv,Sr Unsecured,GEMDALE EVER PROSPERITY INVESTMENT LTD,CN,BB-
25,55338,Industrials,Transportation & Logistics,Transport-Services,Sr Unsecured,AVIC INTERNATIONAL FINANCE & INVESTMENT LTD,CN,Not Founded
26,55343,Financials,Banks,Commer Banks Non-US,Sr Unsecured,SKANDINAVISKA ENSKILDA BANKEN AB,SE,A+
27,55344,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,ZHENRO PROPERTIES GROUP LTD,CN,B-
28,55345,Real Estate,Real Estate,Real Estate Oper/Develop,1st Lien Secured,CHINA SOUTH CITY HOLDINGS LTD,CN,CCC+
29,55349,Financials,Financial Services,Finance-Other Services,Sr Unsecured,CHINA HUADIAN OVERSEAS DEVELOPMENT 2018 LTD,CN,Not Founded
30,55355,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,NEW METRO GLOBAL LTD,CN,Not Founded
31,55357,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,CHINA OVERSEAS GRAND OCEANS FINANCE IV CAYMAN LTD,CN,BBB-
32,55380,Health Care,Health Care Facilities & Services,Medical-Hospitals,Sr Unsecured,NMC HEALTHCARE SUKUK LTD,AE,BB+
33,55404,Real Estate,Real Estate,Real Estate Mgmnt/Servic,Sr Unsecured,WUHAN REAL ESTATE DEVELOPMENT & INVESTMENT GROUP CO LTD,CN,BBB-
34,55408,Energy,Power Generation,Electric-Generation,Sr Unsecured,KOREA WESTERN POWER CO LTD,KR,AA
35,55412,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,GUORUI PROPERTIES LTD,CN,Not Founded
36,55413,Real Estate,Real Estate,Real Estate Oper/Develop,1st Lien Secured,TIMES CHINA HOLDINGS LTD,CN,Not Founded
37,55417,Basic Materials,Chemicals,Chemicals-Specialty,Sr Unsecured,FUFENG GROUP LTD,CN,BBB-
38,55438,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,NEW METRO GLOBAL LTD,CN,Not Founded
39,55475,Energy,Power Generation,Electric-Generation,Sr Unsecured,SPIC LUXEMBOURG LATIN AMERICA RENEWABLE ENERGY INVESTMENT CO SARL,CN,Not Founded
40,55531,Financials,Banks,Commer Banks Non-US,Sr Unsecured,BANK RAKYAT INDONESIA PERSERO TBK PT,ID,Not Founded
41,55534,Financials,Life Insurance,Life/Health Insurance,Subordinated Unsecured,ASAHI MUTUAL LIFE INSURANCE CO,JP,Not Founded
42,55551,Financials,Banks,Commer Banks Non-US,Jr Subordinated Unsecured,SHINHAN FINANCIAL GROUP CO LTD,KR,Not Founded
43,55552,Real Estate,Real Estate,Real Estate Oper/Develop,Secured,AGILE GROUP HOLDINGS LTD,CN,BB
44,55565,Energy,Utilities,Electric-Integrated,Sr Unsecured,SAUDI ELECTRICITY GLOBAL SUKUK CO 4,SA,Not Founded
45,55570,Consumers,Food & Beverage,Food-Dairy Products,Sr Unsecured,CHINA MENGNIU DAIRY CO LTD,CN,BBB+
46,55585,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,CFLD CAYMAN INVESTMENT LTD,CN,Not Founded
47,55590,Real Estate,Real Estate,Real Estate Oper/Develop,Secured,SUNAC CHINA HOLDINGS LTD,CN,B+
48,55592,Basic Materials,Metals & Mining,Gold Mining,Sr Unsecured,SDG FINANCE I LTD,CN,BBB-
49,55596,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,HUAFA GROUP 2018 I CO LTD,CN,Not Founded
50,55605,Energy,Utilities,Electric-Integrated,Sr Unsecured,ESKOM HOLDINGS SOC LTD,ZA,CCC+
51,55606,Energy,Utilities,Electric-Integrated,Sr Unsecured,ESKOM HOLDINGS SOC LTD,ZA,BB
52,55612,Industrials,Industrial Other,Airport Develop/Maint,Sr Unsecured,ANHUI TRANSPORTATION HOLDING GROUP HK LTD,CN,Not Founded
53,55613,Industrials,Waste & Environment Services & Equipment,Recycling,Sr Unsecured,CAPITAL ENVIRONMENT HOLDINGS LTD,CN,Not Founded
54,55616,Financials,Commercial Finance,Finance-Leasing Compan,Sr Unsecured,XINGSHENG BVI CO LTD,CN,Not Founded
55,55617,Financials,Banks,Commer Banks Non-US,Jr Subordinated Unsecured,YAPI VE KREDI BANKASI AS,TR,Not Founded
56,55620,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,LOGAN PROPERTY HOLDINGS CO LTD,CN,BB-
57,55622,Financials,Banks,Commer Banks Non-US,Jr Subordinated Unsecured,ADIB CAPITAL INVEST 2 LTD,AE,Not Founded
58,55628,Real Estate,Real Estate,Real Estate Oper/Develop,Secured,REDCO PROPERTIES GROUP LTD,CN,B
59,55634,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,NAN FUNG TREASURY LTD,HK,BBB-
60,55639,Financials,Banks,Commer Banks Non-US,Sr Unsecured,AOZORA BANK LTD,JP,A-
61,55641,Consumers,Homebuilders,Bldg-Residential/Commer,Sr Unsecured,LINGANG WINGS INC,CN,BBB+
62,55642,Financials,Life Insurance,Life/Health Insurance,Sr Unsecured,VIGOROUS CHAMPION INTERNATIONAL LTD,CN,Not Founded
63,55645,Energy,Utilities,Electric-Distribution,Sr Unsecured,CHINA SOUTHERN POWER GRID INTERNATIONAL FINANCE BVI 2018 CO LTD,CN,A+
64,55657,Basic Materials,Metals & Mining,Metal-Aluminum,Sr Unsecured,CHALCO HONG KONG INVESTMENT CO LTD,CN,Not Founded
65,55659,Financials,Banks,Commer Banks Non-US,Sr Unsecured,AHB SUKUK CO LTD,AE,Not Founded
66,55670,Energy,Utilities,Electric-Integrated,Sr Unsecured,CGNPC INTERNATIONAL LTD,CN,Not Founded
67,55671,Energy,Utilities,Electric-Integrated,Sr Unsecured,SAUDI ELECTRICITY GLOBAL SUKUK CO 4,SA,Not Founded
68,55677,Real Estate,Real Estate,Real Estate Oper/Develop,Secured,FUTURE LAND DEVELOPMENT HOLDINGS LTD,CN,BB-
69,55689,Financials,Financial Services,Finance-Other Services,Sr Unsecured,INVENTIVE GLOBAL INVESTMENTS LTD,CN,Not Founded
70,55692,Financials,Financial Services,Private Equity,Sr Unsecured,SIHC INTERNATIONAL CAPITAL LTD,CN,A
71,55696,Financials,Banks,Commer Banks Non-US,Sr Unsecured,SECURITY BANK CORP,PH,Not Founded
72,55698,Real Estate,Real Estate,Real Estate Oper/Develop,1st Lien Secured,COUNTRY GARDEN HOLDINGS CO LTD,CN,Not Founded
73,55700,Real Estate,Real Estate,Real Estate Oper/Develop,1st Lien Secured,COUNTRY GARDEN HOLDINGS CO LTD,CN,Not Founded
74,55701,Energy,Power Generation,Electric-Generation,Sr Unsecured,BI HAI CO LTD,CN,Not Founded
75,55719,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,ZHENRO PROPERTIES GROUP LTD,CN,B-
76,55722,Industrials,Transportation & Logistics,Shipbuilding,Sr Unsecured,CSSC CAPITAL ONE LTD,CN,Not Founded
77,55730,Financials,Banks,Commer Banks Non-US,Sr Unsecured,DEXIA CREDIT LOCAL SA,FR,Not Founded
78,55738,Real Estate,Real Estate,Real Estate Oper/Develop,1st Lien Secured,JINGRUI HOLDINGS LTD,CN,Not Founded
79,55741,Industrials,Transportation & Logistics,Whsing&Harbor Trans Serv,Sr Unsecured,DP WORLD PLC,AE,Not Founded
80,55770,Communications,Wireless Telecommunications Services,Cellular Telecom,Jr Subordinated Unsecured,VODAFONE GROUP PLC,GB,BB+
81,55779,Financials,Life Insurance,Life/Health Insurance,Subordinated Unsecured,PRUDENTIAL PLC,GB,BBB
82,55784,Basic Materials,Chemicals,Chemicals-Diversified,Sr Unsecured,SABIC CAPITAL II BV,SA,A-
83,55798,Industrials,Waste & Environment Services & Equipment,Non-hazardous Waste Disp,Sr Unsecured,BEIJING ENVIRONMENT BVI CO LTD,CN,Not Founded
84,55799,Industrials,Electrical Equipment Manufacturing,Electronic Compo-Misc,Sr Unsecured,COMPETITION TEAM TECHNOLOGIES LTD,TW,A-
85,55800,Industrials,Electrical Equipment Manufacturing,Electronic Compo-Misc,Sr Unsecured,COMPETITION TEAM TECHNOLOGIES LTD,TW,A-
86,55811,Energy,Power Generation,Electric-Generation,Sr Unsecured,SPIC LUXEMBOURG LATIN AMERICA RENEWABLE ENERGY INVESTMENT CO SARL,CN,Not Founded
87,55823,Communications,Wireless Telecommunications Services,Cellular Telecom,Sr Unsecured,MILLICOM INTERNATIONAL CELLULAR SA,CO,Not Founded
88,55831,Financials,Financial Services,Investment Companies,Sr Unsecured,CHENGDU ECONOMIC & TECHNOLOGICAL DEVELOPMENT ZONE STATE-OWNED ASSETS INVESTMENT,CN,Not Founded
89,55836,Basic Materials,Chemicals,Chemicals-Specialty,Sr Unsecured,BLUESTAR FINANCE HOLDINGS LTD,CN,Not Founded
90,55837,Industrials,Industrial Other,Building-Heavy Construct,Sr Unsecured,HUNAN XIANGJIANG NEW AREA DEVELOPMENT GROUP CO LTD,CN,Not Founded
91,55840,Financials,Banks,Commer Banks Non-US,Subordinated Unsecured,CHINA CITIC BANK INTERNATIONAL LTD,HK,Not Founded
92,55842,Energy,Power Generation,Electric-Generation,Sr Unsecured,TNB GLOBAL VENTURES CAPITAL BHD,MY,BBB
93,55855,Financials,Financial Services,Investment Companies,Sr Unsecured,TAIZHOU CITY CONSTRUCTION INVESTMENT DEVELOPMENT GROUP CO LTD,CN,Not Founded
94,55875,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,SINO-OCEAN LAND TREASURE IV LTD,CN,Not Founded
95,55876,Energy,Exploration & Production,Oil Comp-Explor&Prodtn,Sr Unsecured,OIL AND GAS HOLDING CO BSCC/THE,BH,Not Founded
96,55878,Financials,Commercial Finance,Finance-Commercial,Sr Unsecured,REC LTD,IN,Not Founded
97,55883,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,SCENERY JOURNEY LTD,CN,B
98,55890,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,HUAYUAN PROPERTY CO LTD,CN,B+
99,55895,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,REDSUN PROPERTIES GROUP LTD,CN,Not Founded
100,55905,Industrials,Industrial Other,Building-Heavy Construct,Sr Unsecured,WUHAN METRO GROUP CO LTD,CN,Not Founded
101,55906,Technology,Hardware,Electronic Compo-Misc,Sr Unsecured,LG DISPLAY CO LTD,KR,AA
102,55910,Energy,Coal Operations,Coal,Sr Unsecured,YANCOAL INTERNATIONAL RESOURCES DEVELOPMENT CO LTD,CN,BB
103,55913,Financials,Commercial Finance,Finance-Commercial,Sr Unsecured,CLIFFORD CAPITAL PTE LTD,SG,AAA
104,55914,Industrials,Machinery Manufacturing,Electric Products-Misc,Sr Unsecured,JOHNSON ELECTRIC HOLDINGS LTD,HK,BBB
105,55925,Financials,Financial Services,Invest Comp - Resources,Sr Unsecured,GANSU PROVINCE ELECTRIC POWER INVESTMENT GROUP CO LTD,CN,Not Founded
106,55928,Consumers,Travel & Lodging,Hotels&Motels,Sr Unsecured,MINOR INTERNATIONAL PCL,TH,Not Founded
107,55930,Financials,Financial Services,Finance-Other Services,Sr Unsecured,CITIC SECURITIES FINANCE MTN CO LTD,CN,BBB+
108,55931,Energy,Utilities,Electric-Integrated,Secured,CHUGOKU ELECTRIC POWER CO INC/THE,JP,Not Founded
109,55938,Industrials,Railroad,Transport-Rail,Sr Unsecured,EASTERN CREATION II INVESTMENT HOLDINGS LTD,CN,A
110,55945,Industrials,Industrial Other,Public Thoroughfares,Sr Unsecured,CHENGDU COMMUNICATIONS INVESTMENT GROUP CO LTD,CN,Not Founded
111,55948,Consumers,Travel & Lodging,Transport-Rail,Sr Unsecured,GUANGZHOU METRO INVESTMENT FINANCE BVI LTD,CN,Not Founded
112,55950,Basic Materials,Metals & Mining,Metal Products-Distrib,Sr Unsecured,JIANGXI RAILWAY INVESTMENT GROUP CO LTD,CN,Not Founded
113,55969,Industrials,Industrial Other,Building-Heavy Construct,Sr Unsecured,CHONGQING NAN'AN URBAN CONSTRUCTION & DEVELOPMENT GROUP CO LTD,CN,BBB
114,55970,Consumers,Travel & Lodging,Transport-Rail,Sr Unsecured,ZHENGZHOU METRO GROUP CO LTD,CN,Not Founded
115,55972,Energy,Utilities,Gas-Distribution,Sr Unsecured,SHAOXING CITY INVESTMENT GROUP LTD,CN,Not Founded
116,55973,Financials,Financial Services,Finance-Invest Bnkr/Brkr,Sr Unsecured,HAITONG SECURITIES CO LTD,CN,BBB
117,55978,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,GREENLAND HONG KONG HOLDINGS LTD,CN,Not Founded
118,55983,Real Estate,Real Estate,Real Estate Oper/Develop,1st Lien Secured,RONSHINE CHINA HOLDINGS LTD,CN,Not Founded
119,55984,Real Estate,Real Estate,Bldg-Residential/Commer,1st Lien Secured,MODERN LAND CHINA CO LTD,CN,Not Founded
120,55991,Real Estate,Real Estate,Real Estate Oper/Develop,1st Lien Secured,POWERLONG REAL ESTATE HOLDINGS LTD,CN,B
121,55993,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,GUORUI PROPERTIES LTD,CN,Not Founded
122,55995,Financials,Banks,Commer Banks Non-US,Subordinated Unsecured,KOOKMIN BANK,KR,BBB+
123,56007,Financials,Commercial Finance,Finance-Leasing Compan,Sr Unsecured,BOCOM LEASING MANAGEMENT HONG KONG CO LTD,CN,A-
124,56032,Real Estate,Real Estate,Real Estate Oper/Develop,Secured,SUNAC CHINA HOLDINGS LTD,CN,B+
125,56046,Real Estate,Real Estate,Real Estate Oper/Develop,Secured,FUTURE LAND DEVELOPMENT HOLDINGS LTD,CN,Not Founded
126,56061,Real Estate,Real Estate,Real Estate Oper/Develop,Secured,EASY TACTIC LTD,CN,Not Founded
127,56077,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,RKPF OVERSEAS 2019 A LTD,HK,BB-
128,56086,Financials,Banks,Commer Banks Non-US,Sr Unsecured,SIAM COMMERCIAL BANK PCL/CAYMAN ISLANDS,TH,BBB+
129,56090,Real Estate,Real Estate,Real Estate Oper/Develop,1st Lien Secured,TIMES CHINA HOLDINGS LTD,CN,Not Founded
130,56103,Financials,Financial Services,Invest Mgmnt/Advis Serv,Sr Unsecured,CHINA CINDA FINANCE 2017 I LTD,CN,A-
131,56105,Financials,Financial Services,Invest Mgmnt/Advis Serv,Sr Unsecured,CHINA CINDA FINANCE 2017 I LTD,CN,A-
132,56108,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,CHINA RESOURCES LAND LTD,CN,BBB+
133,56126,Real Estate,Real Estate,Real Estate Oper/Develop,1st Lien Secured,CHINA AOYUAN GROUP LTD,CN,B
134,56147,Real Estate,Real Estate,REITS-Diversified,Sr Unsecured,CORECIVIC INC,US,BB
135,56155,Energy,Pipeline,Pipelines,Sr Unsecured,CRESTWOOD MIDSTREAM PARTNERS LP / CRESTWOOD MIDSTREAM FINANCE CORP,US,BB-
136,56157,Financials,Banks,Money Center Banks,Secured,DBS BANK LTD,SG,Not Founded
137,56159,Financials,Banks,Commer Banks Non-US,Sr Unsecured,DANSKE BANK A/S,DK,BBB+
138,56160,Financials,Banks,Commer Banks Non-US,Sr Unsecured,DANSKE BANK A/S,DK,BBB+
139,56169,Communications,Cable & Satellite,Cable/Satellite TV,Sr Unsecured,DISH DBS CORP,US,B-
140,56173,Basic Materials,Metals & Mining,Diamonds/Precious Stones,2nd Lien Secured,NORTHWEST ACQUISITIONS ULC / DOMINION FINCO INC,US,B
141,56175,Basic Materials,Chemicals,Chemicals-Diversified,Sr Unsecured,NOVA CHEMICALS CORP,CA,BB+
142,56176,Basic Materials,Chemicals,Chemicals-Diversified,Sr Unsecured,NOVA CHEMICALS CORP,CA,BB+
143,56180,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,ONTARIO TEACHERS' CADILLAC FAIRVIEW PROPERTIES TRUST,CA,A+
144,56181,Real Estate,Real Estate,Real Estate Oper/Develop,Sr Unsecured,ONTARIO TEACHERS' CADILLAC FAIRVIEW PROPERTIES TRUST,CA,A+
145,56184,Technology,Software & Services,Enterprise Software/Serv,Sr Unsecured,OPEN TEXT CORP,CA,BB+
146,56185,Technology,Software & Services,Enterprise Software/Serv,Sr Unsecured,OPEN TEXT CORP,CA,BB
147,56186,Communications,Wireless Telecommunications Services,Cellular Telecom,Sr Unsecured,COMUNICACIONES CELULARES SA VIA COMCEL TRUST,GT,Not Founded
148,56190,Communications,Wireless Telecommunications Services,Cellular Telecom,Sr Unsecured,DIGICEL GROUP TWO LTD,JM,Not Founded
149,56193,Communications,Wireless Telecommunications Services,Cellular Telecom,Sr Unsecured,DIGICEL LTD,JM,Not Founded
150,56196,Communications,Publishing & Broadcasting,Advertising Sales,Sr Unsecured,CLEAR CHANNEL INTERNATIONAL BV,US,B-
151,56197,Energy,Exploration & Production,Oil Comp-Explor&Prodtn,Sr Unsecured,NOSTRUM OIL & GAS FINANCE BV,KZ,CCC+
152,56198,Energy,Exploration & Production,Oil Comp-Explor&Prodtn,Sr Unsecured,NOSTRUM OIL & GAS FINANCE BV,KZ,CCC+
153,56201,Energy,Power Generation,Electric-Generation,Sr Unsecured,COLBUN SA,CL,BBB
154,56203,Energy,Utilities,Electric-Distribution,Sr Unsecured,COMISION FEDERAL DE ELECTRICIDAD,MX,BBB+
155,56204,Energy,Power Generation,Independ Power Producer,Secured,COMETA ENERGIA SA DE CV,MX,Not Founded
156,56205,Energy,Utilities,Electric-Distribution,Sr Unsecured,COMISION FEDERAL DE ELECTRICIDAD,MX,BBB+
157,56206,Energy,Utilities,Electric-Distribution,Sr Unsecured,COMISION FEDERAL DE ELECTRICIDAD,MX,BBB+
158,56208,Energy,Utilities,Water,Sr Unsecured,CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,BR,BB-
159,56209,Energy,Utilities,Electric-Transmission,Sr Unsecured,CIA DE TRANSPORTE DE ENERGIA ELECTRICA EN ALTA TENSION TRANSENER SA,AR,B
160,56210,Basic Materials,Metals & Mining,Metal-Aluminum,Sr Unsecured,CIA BRASILEIRA DE ALUMINIO,BR,BBB-
161,56211,Energy,Exploration & Production,Oil Comp-Explor&Prodtn,Sr Unsecured,CIA GENERAL DE COMBUSTIBLES SA,AR,B-
162,56214,Energy,Utilities,Electric-Integrated,Sr Unsecured,ORAZUL ENERGY EGENOR SCA,PE,BB
163,56215,Energy,Utilities,Electric-Integrated,Sr Unsecured,PAMPA ENERGIA SA,AR,B-
164,56228,Energy,Utilities,Electric-Integrated,Sr Unsecured,PAMPA ENERGIA SA,AR,B-
165,56233,Basic Materials,Metals & Mining,Metal-Iron,1st Lien Secured,CLEVELAND-CLIFFS INC,US,BB
166,56237,Communications,Communications Equipment,Telecommunication Equip,Sr Unsecured,COMMSCOPE INC,US,B-
167,56239,Communications,Communications Equipment,Telecommunication Equip,Sr Unsecured,COMMSCOPE TECHNOLOGIES LLC,US,B-
168,56243,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
169,56244,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
170,56246,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
171,56248,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
172,56249,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
173,56255,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
174,56256,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
175,56260,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
176,56264,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
177,56265,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
178,56266,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
179,56268,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
180,56271,Financials,Financial Services,Invest Mgmnt/Advis Serv,Sr Unsecured,NUVEEN LLC,US,AA
181,56272,Communications,Wireline Telecommunications Services,Computer Services,Sr Unsecured,WEST CORP,US,Not Founded
182,56276,Basic Materials,Containers & Packaging,Containers-Metal/Glass,Sr Unsecured,OWENS-BROCKWAY GLASS CONTAINER INC,US,B+
183,56277,Basic Materials,Containers & Packaging,Containers-Metal/Glass,Sr Unsecured,OWENS-BROCKWAY GLASS CONTAINER INC,US,B+
184,56280,Energy,Utilities,Electric-Integrated,Sr Unsecured,PACIFIC GAS & ELECTRIC CO,US,AAA
185,56281,Energy,Utilities,Electric-Integrated,Sr Unsecured,PACIFIC GAS & ELECTRIC CO,US,AAA
186,56283,Basic Materials,Chemicals,Chemicals-Specialty,1st Lien Secured,PQ CORP,US,BB-
187,56285,Basic Materials,Containers & Packaging,Containers-Metal/Glass,Sr Unsecured,OWENS-BROCKWAY GLASS CONTAINER INC,US,B+
188,56289,Energy,Power Generation,Energy-Alternate Sources,Sr Unsecured,PATTERN ENERGY GROUP INC,US,BB-
189,56305,Financials,Life Insurance,Life/Health Insurance,Secured,PRICOA GLOBAL FUNDING I,US,AA-
190,56311,Financials,Financial Services,Finance-Other Services,Sr Unsecured,POWER SECTOR ASSETS & LIABILITIES MANAGEMENT CORP,PH,BBB+
191,56312,Basic Materials,Metals & Mining,Diversified Operations,Sr Unsecured,ABM INVESTAMA TBK PT,ID,Not Founded
192,56313,Industrials,Transportation & Logistics,Transport-Marine,Sr Unsecured,PELABUHAN INDONESIA II PT,ID,BBB
193,56314,Industrials,Transportation & Logistics,Transport-Marine,Sr Unsecured,PELABUHAN INDONESIA II PT,ID,BBB
